"round","newround.time","choice.time","buttonpress.time","conf.time","reveal.time","choice.location","choice.class","outcome","win.prob","exputil","exputil.gamble","pot.payoff","payoff","rpe","fictive"
1,58.2260000324,58.9920000648,60.71,60.7310001468,61.2560000038,"Left","Gamble","Win",0.9,27,27,30,30,3,20
2,62.2770001507,63.0420000172,64.0619999981,64.0830001449,64.6070000744,"Left","Gamble","Win",0.6,12,12,20,20,8,10
3,65.6290001488,66.3940000152,67.1260001278,67.1460001087,67.6720001316,"Right","Gamble","Win",0.3,7.5,7.5,25,25,17.5,15
4,68.69300004,69.4590000725,70.4560000515,70.4760000324,70.9999999618,"Left","Gamble","Win",0.9,27,27,30,30,3,20
5,72.0210001087,72.7859999752,73.6709999657,73.6920001125,74.2180001354,"Right","Safebet","WouldHaveLost",0.4,10,10,25,10,0,10
6,75.2399999714,76.0060000038,77.1980001545,77.2180001354,77.7420000648,"Right","Gamble","Win",0.9,27,27,30,30,3,20
7,78.7629999733,79.5290000057,80.6179999924,80.6390001392,81.1639999962,"Right","Gamble","Win",0.8,20,20,25,25,5,15
8,82.185000143,82.949000082,83.9360000706,83.9560000515,84.4810001468,"Right","Safebet","WouldHaveLost",0.3,10,6,20,10,0,10
9,85.5020000553,86.2670001602,87.4400000191,87.46,87.9860000229,"Left","Safebet","WouldHaveLost",0.1,10,2.5,25,10,0,10
10,89.0060000038,89.7700001812,90.7830001926,90.8040001011,91.3280000305,"Left","Gamble","Win",0.7,21,21,30,30,9,20
11,92.3490001774,93.1140000439,94.1509999847,94.1709999657,94.696000061,"Right","Safebet","WouldHaveWon",0.4,10,8,20,10,0,-10
12,95.7180001354,96.4830000019,97.1780001736,97.1980001545,97.7230000114,"Left","Gamble","Loss",0.8,20,20,25,0,-20,-10
13,98.7440001583,99.5090000248,100.4510001755,100.4710001564,100.9970001793,"Right","Safebet","WouldHaveLost",0.3,10,4.5,15,10,0,10
14,102.0190000152,102.7859999752,104.453999958,104.4740001774,104.9990000343,"Right","Gamble","Win",0.6,15,15,25,25,10,15
15,106.0200001812,106.7859999752,107.9009999847,107.9220001316,108.4469999885,"Left","Gamble","Loss",0.6,9,9,15,0,-9,-10
16,109.4690000629,110.2340001678,111.2810000992,111.3010000801,111.827000103,"Right","Safebet","WouldHaveLost",0.2,10,3,15,10,0,10
17,112.8480000114,113.6140000439,114.770000181,114.790000162,115.316000185,"Left","Gamble","Loss",0.6,12,12,20,0,-12,-10
18,116.338000021,117.104000053,118.214000187,118.234000168,118.759000025,"Left","Safebet","WouldHaveLost",0.2,10,4,20,10,0,10
19,119.780000172,120.545999966,122.234000168,122.254000149,122.780000172,"Left","Safebet","WouldHaveLost",0.4,10,8,20,10,0,10
20,123.80100008,124.566000185,125.599000177,125.620000086,126.145000181,"Right","Gamble","Win",0.8,12,12,15,15,3,5
21,127.167000017,127.932000122,128.849000177,128.869000158,129.394000015,"Left","Gamble","Win",0.8,12,12,15,15,3,5
22,130.413999996,131.179000101,132.56800004,132.589000187,133.114000044,"Left","Gamble","Win",1,20,20,20,20,0,10
23,134.136000118,134.900999985,136.208000145,136.228000126,136.754000149,"Left","Safebet","WouldHaveLost",0,10,0,25,10,0,10
24,137.775000057,138.54100009,139.456999979,139.478000126,140.001000128,"Left","Gamble","Win",0.8,24,24,30,30,6,20
25,141.022999964,141.788000069,143.256000004,143.277000151,143.802000008,"Right","Gamble","Loss",0.5,10,10,20,0,-10,-10
26,144.823000154,145.588000021,146.59499999,146.616000137,147.14200016,"Left","Safebet","WouldHaveWon",0.2,10,3,15,10,0,-5
27,148.163000069,148.928000174,150.317000113,150.337000093,150.861000023,"Left","Gamble","Loss",0.2,5,5,25,0,-5,-10
28,151.883000097,152.64900013,153.772000036,153.793000183,154.31800004,"Left","Safebet","WouldHaveWon",0.3,10,7.5,25,10,0,-15
29,155.339000187,156.104999981,157.478000126,157.498000107,158.025000057,"Left","Safebet","WouldHaveLost",0,10,0,15,10,0,10
