,round,choice.location,choice.class,outcome,win.prob,exputil,exputil.gamble,pot.payoff,payoff,rpe,fictive
0,1,Left,Gamble,Win,0.9,27.0,27.0,30,30,3.0,20
1,2,Left,Gamble,Win,0.6,12.0,12.0,20,20,8.0,10
2,3,Right,Gamble,Win,0.3,7.5,7.5,25,25,17.5,15
3,4,Left,Gamble,Win,0.9,27.0,27.0,30,30,3.0,20
4,5,Right,Safebet,WouldHaveLost,0.4,10.0,10.0,25,10,0.0,10
5,6,Right,Gamble,Win,0.9,27.0,27.0,30,30,3.0,20
6,7,Right,Gamble,Win,0.8,20.0,20.0,25,25,5.0,15
7,8,Right,Safebet,WouldHaveLost,0.3,10.0,6.0,20,10,0.0,10
8,9,Left,Safebet,WouldHaveLost,0.1,10.0,2.5,25,10,0.0,10
9,10,Left,Gamble,Win,0.7,21.0,21.0,30,30,9.0,20
10,11,Right,Safebet,WouldHaveWon,0.4,10.0,8.0,20,10,0.0,-10
11,12,Left,Gamble,Loss,0.8,20.0,20.0,25,0,-20.0,-10
12,13,Right,Safebet,WouldHaveLost,0.3,10.0,4.5,15,10,0.0,10
13,14,Right,Gamble,Win,0.6,15.0,15.0,25,25,10.0,15
14,15,Left,Gamble,Loss,0.6,9.0,9.0,15,0,-9.0,-10
15,16,Right,Safebet,WouldHaveLost,0.2,10.0,3.0,15,10,0.0,10
16,17,Left,Gamble,Loss,0.6,12.0,12.0,20,0,-12.0,-10
17,18,Left,Safebet,WouldHaveLost,0.2,10.0,4.0,20,10,0.0,10
18,19,Left,Safebet,WouldHaveLost,0.4,10.0,8.0,20,10,0.0,10
19,20,Right,Gamble,Win,0.8,12.0,12.0,15,15,3.0,5
20,21,Left,Gamble,Win,0.8,12.0,12.0,15,15,3.0,5
21,22,Left,Gamble,Win,1.0,20.0,20.0,20,20,0.0,10
22,23,Left,Safebet,WouldHaveLost,0.0,10.0,0.0,25,10,0.0,10
23,24,Left,Gamble,Win,0.8,24.0,24.0,30,30,6.0,20
24,25,Right,Gamble,Loss,0.5,10.0,10.0,20,0,-10.0,-10
25,26,Left,Safebet,WouldHaveWon,0.2,10.0,3.0,15,10,0.0,-5
26,27,Left,Gamble,Loss,0.2,5.0,5.0,25,0,-5.0,-10
27,28,Left,Safebet,WouldHaveWon,0.3,10.0,7.5,25,10,0.0,-15
28,29,Left,Safebet,WouldHaveLost,0.0,10.0,0.0,15,10,0.0,10
29,30,Right,Gamble,Loss,0.9,18.0,18.0,20,0,-18.0,-10
30,31,Left,Safebet,WouldHaveLost,0.4,10.0,6.0,15,10,0.0,10
31,32,Right,Gamble,Win,0.5,7.5,7.5,15,15,7.5,5
32,33,Right,Safebet,WouldHaveLost,0.1,10.0,2.5,25,10,0.0,10
33,34,Left,Safebet,WouldHaveLost,0.1,10.0,2.5,25,10,0.0,10
34,35,Left,Gamble,Loss,0.5,10.0,10.0,20,0,-10.0,-10
35,36,Right,Gamble,Win,0.8,20.0,20.0,25,25,5.0,15
36,37,Right,Safebet,WouldHaveLost,0.3,10.0,7.5,25,10,0.0,10
37,38,Right,Gamble,Win,0.6,9.0,9.0,15,15,6.0,5
38,39,Right,Gamble,Win,0.6,12.0,12.0,20,20,8.0,10
39,40,Right,Gamble,Win,0.7,14.0,14.0,20,20,6.0,10
40,41,Left,Gamble,Loss,0.5,12.5,12.5,25,0,-12.5,-10
41,42,Left,Gamble,Win,0.7,14.0,14.0,20,20,6.0,10
42,43,Left,Safebet,WouldHaveLost,0.4,10.0,10.0,25,10,0.0,10
43,44,Right,Safebet,WouldHaveLost,0.3,10.0,9.0,30,10,0.0,10
44,45,Left,Safebet,WouldHaveWon,0.4,10.0,8.0,20,10,0.0,-10
45,46,Left,Gamble,Win,0.5,7.5,7.5,15,15,7.5,5
46,47,Left,Gamble,Win,1.0,20.0,20.0,20,20,0.0,10
47,48,Left,Safebet,WouldHaveLost,0.2,10.0,5.0,25,10,0.0,10
48,49,Right,Safebet,WouldHaveLost,0.3,10.0,4.5,15,10,0.0,10
49,50,Right,Safebet,WouldHaveLost,0.4,10.0,8.0,20,10,0.0,10
50,51,Left,Gamble,Win,0.6,12.0,12.0,20,20,8.0,10
51,52,Right,Safebet,WouldHaveLost,0.2,10.0,3.0,15,10,0.0,10
52,53,Right,Gamble,Win,0.9,18.0,18.0,20,20,2.0,10
53,54,Right,Gamble,Win,0.9,18.0,18.0,20,20,2.0,10
54,55,Right,Gamble,Win,0.7,14.0,14.0,20,20,6.0,10
55,56,Right,Safebet,WouldHaveLost,0.2,10.0,3.0,15,10,0.0,10
56,57,Left,Gamble,Win,0.8,24.0,24.0,30,30,6.0,20
57,58,Right,Safebet,WouldHaveLost,0.2,10.0,4.0,20,10,0.0,10
58,59,Right,Safebet,WouldHaveWon,0.5,10.0,10.0,20,10,0.0,-10
59,60,Right,Safebet,WouldHaveWon,0.6,10.0,9.0,15,10,0.0,-5
60,61,Right,Gamble,Loss,0.5,12.5,12.5,25,0,-12.5,-10
61,62,Left,Gamble,Loss,0.8,12.0,12.0,15,0,-12.0,-10
62,63,Right,Gamble,Loss,0.4,8.0,8.0,20,0,-8.0,-10
63,64,Left,Safebet,WouldHaveLost,0.2,10.0,4.0,20,10,0.0,10
64,65,Right,Gamble,Win,0.8,20.0,20.0,25,25,5.0,15
65,66,Timeout,Timeout,Timeout,0.0,0.0,0.0,0,0,0.0,0
66,67,Left,Gamble,Win,0.6,18.0,18.0,30,30,12.0,20
67,68,Right,Gamble,Win,0.5,10.0,10.0,20,20,10.0,10
68,69,Left,Gamble,Win,0.6,18.0,18.0,30,30,12.0,20
69,70,Right,Gamble,Win,0.7,21.0,21.0,30,30,9.0,20
70,71,Left,Gamble,Loss,0.9,18.0,18.0,20,0,-18.0,-10
71,72,Left,Gamble,Loss,0.4,10.0,10.0,25,0,-10.0,-10
72,73,Right,Safebet,WouldHaveLost,0.0,10.0,0.0,25,10,0.0,10
73,74,Left,Safebet,WouldHaveWon,0.1,10.0,3.0,30,10,0.0,-20
74,75,Right,Safebet,WouldHaveWon,0.4,10.0,12.0,30,10,0.0,-20
75,76,Right,Safebet,WouldHaveLost,0.1,10.0,1.5,15,10,0.0,10
76,77,Left,Safebet,WouldHaveLost,0.2,10.0,3.0,15,10,0.0,10
77,78,Left,Safebet,WouldHaveLost,0.5,10.0,7.5,15,10,0.0,10
78,79,Right,Gamble,Win,0.7,14.0,14.0,20,20,6.0,10
79,80,Right,Safebet,WouldHaveLost,0.0,10.0,0.0,30,10,0.0,10
80,81,Right,Safebet,WouldHaveWon,0.4,10.0,12.0,30,10,0.0,-20
81,82,Timeout,Timeout,Timeout,0.8,0.0,20.0,0,0,0.0,0
82,83,Right,Gamble,Loss,0.6,12.0,12.0,20,0,-12.0,-10
83,84,Right,Gamble,Win,0.9,27.0,27.0,30,30,3.0,20
84,85,Left,Gamble,Win,0.9,27.0,27.0,30,30,3.0,20
85,86,Right,Gamble,Loss,0.7,17.5,17.5,25,0,-17.5,-10
86,87,Right,Gamble,Win,0.7,21.0,21.0,30,30,9.0,20
87,88,Right,Gamble,Win,0.5,10.0,10.0,20,20,10.0,10
88,89,Right,Safebet,WouldHaveWon,0.4,10.0,8.0,20,10,0.0,-10
89,90,Left,Gamble,Loss,0.5,15.0,15.0,30,0,-15.0,-10
90,91,Left,Gamble,Loss,0.5,10.0,10.0,20,0,-10.0,-10
91,92,Right,Safebet,WouldHaveWon,0.5,10.0,12.5,25,10,0.0,-15
92,93,Right,Gamble,Win,1.0,30.0,30.0,30,30,0.0,20
93,94,Left,Gamble,Loss,0.7,17.5,17.5,25,0,-17.5,-10
94,95,Left,Gamble,Loss,0.7,21.0,21.0,30,0,-21.0,-10
95,96,Left,Gamble,Loss,0.7,21.0,21.0,30,0,-21.0,-10
96,97,Right,Gamble,Win,0.6,15.0,15.0,25,25,10.0,15
97,98,Left,Gamble,Loss,0.6,18.0,18.0,30,0,-18.0,-10
98,99,Left,Safebet,WouldHaveWon,0.4,10.0,6.0,15,10,0.0,-5
99,100,Right,Gamble,Loss,0.3,9.0,9.0,30,0,-9.0,-10
100,101,Right,Safebet,WouldHaveLost,0.0,10.0,0.0,20,10,0.0,10
101,102,Right,Safebet,WouldHaveWon,0.4,10.0,10.0,25,10,0.0,-15
102,103,Right,Safebet,WouldHaveLost,0.4,10.0,6.0,15,10,0.0,10
103,104,Right,Gamble,Loss,0.6,15.0,15.0,25,0,-15.0,-10
104,105,Right,Gamble,Win,1.0,20.0,20.0,20,20,0.0,10
105,106,Right,Gamble,Win,0.6,12.0,12.0,20,20,8.0,10
106,107,Left,Safebet,WouldHaveLost,0.2,10.0,5.0,25,10,0.0,10
107,108,Left,Gamble,Win,0.8,24.0,24.0,30,30,6.0,20
108,109,Left,Safebet,WouldHaveWon,0.3,10.0,4.5,15,10,0.0,-5
109,110,Left,Gamble,Win,0.8,16.0,16.0,20,20,4.0,10
110,111,Right,Gamble,Win,0.7,10.5,10.5,15,15,4.5,5
111,112,Left,Safebet,WouldHaveLost,0.5,10.0,12.5,25,10,0.0,10
112,113,Right,Safebet,WouldHaveLost,0.5,10.0,15.0,30,10,0.0,10
113,114,Left,Gamble,Win,0.9,13.5,13.5,15,15,1.5,5
114,115,Left,Gamble,Win,0.9,13.5,13.5,15,15,1.5,5
115,116,Left,Safebet,WouldHaveLost,0.4,10.0,12.0,30,10,0.0,10
116,117,Right,Gamble,Win,0.7,10.5,10.5,15,15,4.5,5
117,118,Left,Gamble,Win,1.0,25.0,25.0,25,25,0.0,15
118,119,Left,Gamble,Win,0.6,18.0,18.0,30,30,12.0,20
119,120,Left,Safebet,WouldHaveLost,0.1,10.0,2.5,25,10,0.0,10
120,121,Right,Safebet,WouldHaveLost,0.4,10.0,8.0,20,10,0.0,10
121,122,Left,Safebet,WouldHaveLost,0.1,10.0,2.5,25,10,0.0,10
122,123,Left,Gamble,Win,0.6,12.0,12.0,20,20,8.0,10
123,124,Left,Gamble,Win,1.0,30.0,30.0,30,30,0.0,20
124,125,Left,Safebet,WouldHaveLost,0.2,10.0,4.0,20,10,0.0,10
125,126,Right,Safebet,WouldHaveLost,0.5,10.0,7.5,15,10,0.0,10
126,127,Right,Safebet,WouldHaveLost,0.0,10.0,0.0,25,10,0.0,10
127,128,Left,Safebet,WouldHaveWon,0.4,10.0,10.0,25,10,0.0,-15
128,129,Right,Safebet,WouldHaveLost,0.3,10.0,6.0,20,10,0.0,10
129,130,Left,Gamble,Win,0.7,21.0,21.0,30,30,9.0,20
130,131,Right,Safebet,WouldHaveLost,0.3,10.0,9.0,30,10,0.0,10
131,132,Left,Gamble,Win,0.8,20.0,20.0,25,25,5.0,15
132,133,Right,Gamble,Win,0.6,18.0,18.0,30,30,12.0,20
133,134,Left,Safebet,WouldHaveWon,0.2,10.0,4.0,20,10,0.0,-10
134,135,Right,Safebet,WouldHaveLost,0.3,10.0,6.0,20,10,0.0,10
135,136,Left,Gamble,Win,0.9,22.5,22.5,25,25,2.5,15
136,137,Left,Safebet,WouldHaveLost,0.3,10.0,9.0,30,10,0.0,10
137,138,Left,Gamble,Win,1.0,15.0,15.0,15,15,0.0,5
138,139,Right,Safebet,WouldHaveLost,0.2,10.0,4.0,20,10,0.0,10
139,140,Left,Gamble,Win,0.9,13.5,13.5,15,15,1.5,5
140,141,Left,Safebet,WouldHaveWon,0.3,10.0,9.0,30,10,0.0,-20
141,142,Left,Gamble,Win,0.6,9.0,9.0,15,15,6.0,5
142,143,Right,Safebet,WouldHaveLost,0.1,10.0,2.0,20,10,0.0,10
143,144,Right,Safebet,WouldHaveLost,0.3,10.0,4.5,15,10,0.0,10
144,145,Right,Safebet,WouldHaveWon,0.4,10.0,6.0,15,10,0.0,-5
145,146,Left,Gamble,Win,0.5,15.0,15.0,30,30,15.0,20
146,147,Right,Safebet,WouldHaveLost,0.2,10.0,4.0,20,10,0.0,10
147,148,Left,Gamble,Win,1.0,15.0,15.0,15,15,0.0,5
148,149,Left,Gamble,Win,0.9,18.0,18.0,20,20,2.0,10
149,150,Right,Gamble,Win,0.9,22.5,22.5,25,25,2.5,15
150,151,Right,Safebet,WouldHaveLost,0.0,10.0,0.0,15,10,0.0,10
151,152,Right,Gamble,Win,0.8,20.0,20.0,25,25,5.0,15
152,153,Left,Gamble,Win,0.9,18.0,18.0,20,20,2.0,10
153,154,Right,Safebet,WouldHaveWon,0.3,10.0,9.0,30,10,0.0,-20
154,155,Left,Safebet,WouldHaveWon,0.2,10.0,4.0,20,10,0.0,-10
155,156,Right,Gamble,Win,0.6,9.0,9.0,15,15,6.0,5
156,157,Right,Safebet,WouldHaveLost,0.4,10.0,6.0,15,10,0.0,10
157,158,Right,Gamble,Win,0.9,13.5,13.5,15,15,1.5,5
158,159,Right,Safebet,WouldHaveLost,0.3,10.0,9.0,30,10,0.0,10
159,160,Left,Safebet,WouldHaveWon,0.4,10.0,12.0,30,10,0.0,-20
160,161,Right,Gamble,Win,0.6,12.0,12.0,20,20,8.0,10
161,162,Right,Gamble,Loss,0.6,12.0,12.0,20,0,-12.0,-10
162,163,Left,Safebet,WouldHaveWon,0.1,10.0,3.0,30,10,0.0,-20
163,164,Right,Safebet,WouldHaveLost,0.2,10.0,6.0,30,10,0.0,10
164,165,Left,Gamble,Win,0.8,20.0,20.0,25,25,5.0,15
165,166,Left,Safebet,WouldHaveLost,0.2,10.0,3.0,15,10,0.0,10
166,167,Right,Safebet,WouldHaveLost,0.2,10.0,5.0,25,10,0.0,10
167,168,Left,Gamble,Loss,0.5,10.0,10.0,20,0,-10.0,-10
168,169,Right,Safebet,WouldHaveLost,0.3,10.0,4.5,15,10,0.0,10
169,170,Left,Gamble,Win,0.8,16.0,16.0,20,20,4.0,10
170,171,Right,Safebet,WouldHaveLost,0.3,10.0,7.5,25,10,0.0,10
171,172,Right,Safebet,WouldHaveWon,0.2,10.0,5.0,25,10,0.0,-15
172,173,Right,Safebet,WouldHaveWon,0.5,10.0,7.5,15,10,0.0,-5
173,174,Left,Gamble,Win,0.5,10.0,10.0,20,20,10.0,10
174,175,Right,Gamble,Win,1.0,25.0,25.0,25,25,0.0,15
175,176,Left,Gamble,Win,0.7,21.0,21.0,30,30,9.0,20
176,177,Right,Gamble,Win,0.6,15.0,15.0,25,25,10.0,15
177,178,Left,Safebet,WouldHaveLost,0.1,10.0,3.0,30,10,0.0,10
178,179,Left,Gamble,Win,0.5,10.0,10.0,20,20,10.0,10
179,180,Right,Gamble,Win,0.9,13.5,13.5,15,15,1.5,5
180,181,Left,Safebet,WouldHaveLost,0.1,10.0,1.5,15,10,0.0,10
181,182,Right,Safebet,WouldHaveWon,0.4,10.0,12.0,30,10,0.0,-20
182,183,Right,Gamble,Win,0.8,16.0,16.0,20,20,4.0,10
183,184,Right,Gamble,Win,0.8,20.0,20.0,25,25,5.0,15
184,185,Right,Gamble,Win,0.9,13.5,13.5,15,15,1.5,5
185,186,Right,Gamble,Loss,0.7,14.0,14.0,20,0,-14.0,-10
186,187,Left,Gamble,Win,1.0,25.0,25.0,25,25,0.0,15
187,188,Left,Gamble,Win,0.9,27.0,27.0,30,30,3.0,20
188,189,Left,Gamble,Win,0.5,12.5,12.5,25,25,12.5,15
189,190,Right,Safebet,WouldHaveLost,0.0,10.0,0.0,30,10,0.0,10
190,191,Left,Safebet,WouldHaveLost,0.2,10.0,4.0,20,10,0.0,10
191,192,Right,Safebet,WouldHaveLost,0.5,10.0,10.0,20,10,0.0,10
192,193,Left,Gamble,Win,0.9,27.0,27.0,30,30,3.0,20
193,194,Right,Safebet,WouldHaveLost,0.4,10.0,6.0,15,10,0.0,10
194,195,Right,Gamble,Win,0.9,22.5,22.5,25,25,2.5,15
195,196,Left,Gamble,Win,0.4,6.0,6.0,15,15,9.0,5
196,197,Left,Gamble,Win,0.6,9.0,9.0,15,15,6.0,5
197,198,Left,Gamble,Win,0.5,10.0,10.0,20,20,10.0,10
198,199,Right,Gamble,Win,1.0,15.0,15.0,15,15,0.0,5
199,200,Left,Safebet,WouldHaveLost,0.0,10.0,0.0,20,10,0.0,10
